player_id,handle,first_name,last_name,total_games_played,most_played_agent_type,most_played_agent_name,average_kpr,average_dpr,total_kills_2024,total_multikills,total_clutches,total_first_bloods,average_headshot_ratio,average_damage_per_round,region
108256000700617780,deLb,Tanoto,Delbert,13,Sentinels,Cypher,0.698,0.685,183,59,2,16,0.374,39.386,CN
110512804282855007,monk2,Haoyu,Wang,13,Initiators,Breach,0.652,0.76,173,48,0,17,0.361,36.265,CN
110060010341614487,jakee,Jake,Anderson,7,Controllers,Omen,0.603,0.69,98,33,0,7,0.215,39.475,INTL
106660339360916971,wippie,Maxin,Shepelev,7,Controllers,Viper,0.613,0.631,100,29,2,11,0.079,47.524,INTL
107742456626199444,rglm,Matheus ,Rodigoli,22,Controllers,Omen,0.617,0.715,300,94,6,23,0.22,41.052,INTL
106116557437417209,frz,Leandro,Gomes,22,Sentinels,Killjoy,0.677,0.713,326,109,4,37,0.26,46.429,INTL
106506447872281272,MAZIN,Matheus,Araujo,33,Controllers,Viper,0.534,0.723,373,101,2,42,0.218,33.531,INTL
108058714246007482,jzz,Amaral ,João,22,Initiators,Skye,0.731,0.775,350,110,2,70,0.303,41.081,INTL
108244910405710026,artzin,Arthur,Ferreira De Araújo,33,Duelists,Raze,0.731,0.773,514,157,3,92,0.216,43.624,INTL
107760839234471926,blaZek1ngg,Gary,Dastin,31,Controllers,Viper,0.663,0.707,422,129,2,55,0.234,44.18,INTL
106724766365411963,Benkai,Benedict ,Tan,31,Sentinels,Killjoy,0.571,0.681,368,109,1,24,0.195,39.377,INTL
106651651697765967,Russ,Russel,Mendes,31,Initiators,Gekko,0.64,0.75,408,113,2,58,0.409,43.332,INTL
106651665328627705,polvi,Niko,Polvinen,31,Duelists,Jett,0.723,0.791,461,147,3,128,0.255,46.375,INTL
108469988412622630,Lightningfa,Abhirup Paul ,Choudhury,31,Sentinels,Sage,0.635,0.741,401,123,1,48,0.255,29.442,INTL
108397898890330995,SSeeS,Okimura,Tomoki,29,Controllers,Viper,0.578,0.724,347,97,5,32,0.311,29.224,INTL
106605665615290668,Meiy,Mei,Seki,29,Duelists,Jett,0.863,0.812,525,179,1,122,0.272,44.933,INTL
108718263033219961,Anthem,Yoshitaka,Enomoto,29,Initiators,Sova,0.548,0.743,333,87,1,28,0.255,37.144,INTL
106230343169335211,Medusa,An,Min-cheol,29,Sentinels,Killjoy,0.627,0.736,378,109,2,60,0.162,34.099,INTL
106230345015187247,neth,Matsuda,Yusuke,29,Controllers,Harbor,0.577,0.749,345,96,3,28,0.214,37.294,INTL
111895508431155129,Palla,Davi,Rodrigues Alcides,9,Duelists,Jett,0.75,0.853,134,43,1,41,0.43,35.447,INTL
112641706157025691,Rich ,Gabriel,Rosa,9,Initiators,Skye,0.692,0.751,126,30,0,14,0.268,41.534,INTL
106116517250836076,liazzi,Felipe Gabriel,Rimoldi Galiazzi,15,Sentinels,Killjoy,0.604,0.705,192,61,0,17,0.254,33.801,INTL
106116492286441131,Less,Felipe ,Basso,51,Sentinels,Cypher,0.745,0.644,796,244,5,87,0.23,51.389,INTL
107742456385056460,cauanzin,Cauan,Pereira,51,Initiators,Fade,0.74,0.728,782,250,1,121,0.327,47.693,INTL
106116540451628694,Saadhak,Matias,Delipetro,51,Initiators,Breach,0.626,0.735,662,212,5,96,0.218,42.654,INTL
106507002486193030,tuyz,Arthur,Vieira,51,Duelists,Raze,0.664,0.653,706,218,7,65,0.295,41.431,INTL
106507078369536452,pANcada,Bryan ,Luna,13,Controllers,Omen,0.712,0.685,199,57,4,20,0.344,51.126,INTL
111878438398781080,Flex1n,Rui,LUO,20,Controllers,Viper,0.665,0.682,280,82,2,28,0.213,34.655,"CN, INTL"
110790630189086505,Knightt,Yuxiang,Liu,20,Sentinels,Sage,0.657,0.717,276,76,1,28,0.213,40.989,"CN, INTL"
108284848458059527,nephh,Kai Wen Marcus,Tan,20,Initiators,KAY/O,0.664,0.74,280,80,1,29,0.159,35.526,"CN, INTL"
110790631471957471,whzy,Haozhe,Wang,20,Duelists,Jett,0.782,0.783,336,100,0,86,0.243,41.657,"CN, INTL"
108695530758948834,yosemite,Lei,Wang,20,Sentinels,Killjoy,0.656,0.747,282,96,1,34,0.201,39.256,"CN, INTL"
106652145373704062,vo0kashu,Ilia,Ushakov,11,Sentinels,Cypher,0.854,0.738,200,68,0,26,0.328,52.388,CN
107815374167436829,TvirusLuke,Chen,Ching,11,Duelists,Jett,0.676,0.839,161,53,0,43,0.162,38.691,CN
109669231142752973,Nicc,shao,yi qun,11,Initiators,KAY/O,0.57,0.731,132,44,1,10,0.286,38.399,CN
111878437607247760,Shion7,HaoZe,Zhang,11,Initiators,Sova,0.56,0.787,133,43,0,14,0.168,36.176,CN
109795095271772200,nizhaotzh,ZHEHAO,TANG,11,Controllers,Omen,0.61,0.748,146,34,2,13,0.221,47.475,CN
